# Column 1: Score
# Column 2: Roll
# Column 3: Best Action
1000 113446 1000.0 select-11-end
1000 2226 0.0 failed
1000 23336 0.0 failed
1000 346666 0.0 failed
1000 13555 1000.0 select-1555-end
1000 13556 1000.0 select-155-end
1000 225666 1000.0 select-5666-end
1000 114444 1000.0 select-114444-end
1000 133555 1000.0 select-1555-end
1000 114445 1000.0 select-115444-end
1000 133556 1000.0 select-155-end
1000 114446 1000.0 select-11444-end
1000 111566 1000.0 select-5111-end
1000 111255 1000.0 select-55111-end
1000 255555 1000.0 select-55555-end
1000 111256 1000.0 select-5111-end
1000 255556 1000.0 select-5555-end
1000 233566 1000.0 select-5-end
1000 44 0.0 failed
1000 14555 1000.0 select-1555-end
1000 45 1000.0 select-5-end
1000 14556 1000.0 select-155-end
1000 122344 1000.0 select-1-end
1000 46 0.0 failed
1000 122345 1000.0 select-15-end
1000 122346 1000.0 select-1-end
1000 355566 1000.0 select-555-end
1000 122 1000.0 select-1-end
1000 123 1000.0 select-1-end
1000 124 1000.0 select-1-end
1000 11366 1000.0 select-11-end
1000 226666 0.0 failed
1000 222666 0.0 failed
1000 166 1000.0 select-1-end
1000 125 1000.0 select-15-end
1000 126 1000.0 select-1-end
1000 1 1000.0 select-1-end
1000 2 0.0 failed
1000 3 0.0 failed
1000 222355 1000.0 select-55222-end
1000 44444 0.0 failed
1000 4 0.0 failed
1000 222356 1000.0 select-5222-end
1000 134555 1000.0 select-1555-end
1000 44445 1000.0 select-54444-end
1000 5 1000.0 select-5-end
1000 134556 1000.0 select-155-end
1000 44446 0.0 failed
1000 1344 1000.0 select-1-end
1000 6 0.0 failed
1000 1345 1000.0 select-15-end
1000 22455 1000.0 select-55-end
1000 344666 0.0 failed
1000 112566 1000.0 select-115-end
1000 1346 1000.0 select-1-end
1000 22456 1000.0 select-5-end
1000 112255 1000.0 select-1155-end
1000 112256 1000.0 select-115-end
1000 466666 0.0 failed
1000 234566 1000.0 select-5-end
1000 15555 1000.0 select-15555-end
1000 34666 0.0 failed
1000 15556 1000.0 select-1555-end
1000 123344 1000.0 select-1-end
1000 123345 1000.0 select-15-end
1000 123346 1000.0 select-1-end
1000 124466 1000.0 select-1-end
1000 12366 1000.0 select-1-end
1000 223666 0.0 failed
1000 223355 1000.0 select-55-end
1000 223356 1000.0 select-5-end
1000 135555 1000.0 select-15555-end
1000 135556 1000.0 select-1555-end
1000 2344 0.0 failed
1000 23455 1000.0 select-55-end
1000 2345 1000.0 select-5-end
1000 345666 1000.0 select-5666-end
1000 113566 1000.0 select-115-end
1000 23456 1000.0 select-5-end
1000 2346 0.0 failed
1000 235566 1000.0 select-55-end
1000 35666 1000.0 select-5666-end
1000 13366 1000.0 select-1-end
1000 155666 1000.0 select-155666-end
1000 3344 0.0 failed
1000 24455 1000.0 select-55-end
1000 3345 1000.0 select-5-end
1000 114566 1000.0 select-115-end
1000 24456 1000.0 select-5-end
1000 3346 0.0 failed
1000 133366 1000.0 select-1333-end
1000 111333 1000.0 select-111333-end
1000 111334 1000.0 select-111-end
1000 111335 1000.0 select-5111-end
1000 111336 1000.0 select-111-end
1000 36666 0.0 failed
1000 233333 0.0 failed
1000 144455 1000.0 select-155444-end
1000 233334 0.0 failed
1000 144456 1000.0 select-15444-end
1000 233335 1000.0 select-53333-end
1000 233336 0.0 failed
1000 122466 1000.0 select-1-end
1000 555 1000.0 select-555-end
1000 556 1000.0 select-55-end
1000 11444 1000.0 select-11444-end
1000 244 0.0 failed
1000 11445 1000.0 select-115-end
1000 245 1000.0 select-5-end
1000 11446 1000.0 select-11-end
1000 246 0.0 failed
1000 11133 1000.0 select-111-end
1000 333344 0.0 failed
1000 244466 0.0 failed
1000 11134 1000.0 select-111-end
1000 333345 1000.0 select-53333-end
1000 156666 1000.0 select-156666-end
1000 11135 1000.0 select-5111-end
1000 333346 0.0 failed
1000 11136 1000.0 select-111-end
1000 115566 1000.0 select-1155-end
1000 44566 1000.0 select-5-end
1000 1466 1000.0 select-1-end
1000 1111 1000.0 select-1111-end
1000 1112 1000.0 select-111-end
1000 22222 0.0 failed
1000 112333 1000.0 select-11333-end
1000 1113 1000.0 select-111-end
1000 22223 0.0 failed
1000 112334 1000.0 select-11-end
1000 1114 1000.0 select-111-end
1000 22224 0.0 failed
1000 1155 1000.0 select-1155-end
1000 112335 1000.0 select-115-end
1000 1115 1000.0 select-5111-end
1000 22266 0.0 failed
1000 22225 1000.0 select-52222-end
1000 1156 1000.0 select-115-end
1000 112336 1000.0 select-11-end
1000 1116 1000.0 select-111-end
1000 22226 0.0 failed
1000 33666 0.0 failed
1000 555666 1000.0 select-555666-end
1000 33355 1000.0 select-55333-end
1000 444444 0.0 failed
1000 123466 1000.0 select-1-end
1000 33356 1000.0 select-5333-end
1000 444445 1000.0 select-544444-end
1000 444446 0.0 failed
1000 12444 1000.0 select-1444-end
1000 445566 1000.0 select-55-end
1000 12445 1000.0 select-15-end
1000 12446 1000.0 select-1-end
1000 45566 1000.0 select-55-end
1000 224555 1000.0 select-555-end
1000 224556 1000.0 select-55-end
1000 2466 0.0 failed
1000 113333 1000.0 select-113333-end
1000 113334 1000.0 select-11333-end
1000 113335 1000.0 select-115333-end
1000 113336 1000.0 select-11333-end
1000 556666 1000.0 select-556666-end
1000 13444 1000.0 select-1444-end
1000 13445 1000.0 select-15-end
1000 13446 1000.0 select-1-end
1000 225555 1000.0 select-5555-end
1000 225556 1000.0 select-555-end
1000 3466 0.0 failed
1000 133444 1000.0 select-1444-end
1000 133445 1000.0 select-15-end
1000 133446 1000.0 select-1-end
1000 111455 1000.0 select-55111-end
1000 111456 1000.0 select-5111-end
1000 111144 1000.0 select-1111-end
1000 111145 1000.0 select-51111-end
1000 111146 1000.0 select-1111-end
1000 233455 1000.0 select-55-end
1000 233456 1000.0 select-5-end
1000 14444 1000.0 select-14444-end
1000 14445 1000.0 select-15444-end
1000 122233 1000.0 select-1222-end
1000 14446 1000.0 select-1444-end
1000 122234 1000.0 select-1222-end
1000 122235 1000.0 select-15222-end
1000 11566 1000.0 select-115-end
1000 122236 1000.0 select-1222-end
1000 366 0.0 failed
1000 11255 1000.0 select-1155-end
1000 333466 0.0 failed
1000 222555 1000.0 select-555222-end
1000 11256 1000.0 select-115-end
1000 222556 1000.0 select-55222-end
1000 4466 0.0 failed
1000 222244 0.0 failed
1000 222245 1000.0 select-52222-end
1000 134444 1000.0 select-14444-end
1000 222246 0.0 failed
1000 134445 1000.0 select-15444-end
1000 1233 1000.0 select-1-end
1000 134446 1000.0 select-1444-end
1000 1234 1000.0 select-1-end
1000 22344 0.0 failed
1000 344555 1000.0 select-555-end
1000 112455 1000.0 select-1155-end
1000 1235 1000.0 select-15-end
1000 22345 1000.0 select-5-end
1000 344556 1000.0 select-55-end
1000 112456 1000.0 select-115-end
1000 1236 1000.0 select-1-end
1000 22346 0.0 failed
1000 234455 1000.0 select-55-end
1000 234456 1000.0 select-5-end
1000 444566 1000.0 select-5444-end
1000 34555 1000.0 select-555-end
1000 124666 1000.0 select-1666-end
1000 34556 1000.0 select-55-end
1000 12566 1000.0 select-15-end
1000 12255 1000.0 select-155-end
1000 334466 0.0 failed
1000 223555 1000.0 select-555-end
1000 12256 1000.0 select-15-end
1000 246666 0.0 failed
1000 223556 1000.0 select-55-end
1000 2233 0.0 failed
1000 23344 0.0 failed
1000 2234 0.0 failed
1000 345555 1000.0 select-5555-end
1000 113455 1000.0 select-1155-end
1000 23345 1000.0 select-5-end
1000 2235 1000.0 select-5-end
1000 345556 1000.0 select-555-end
1000 113456 1000.0 select-115-end
1000 23346 0.0 failed
1000 2236 0.0 failed
1000 35555 1000.0 select-5555-end
1000 125666 1000.0 select-15666-end
1000 35556 1000.0 select-555-end
1000 13566 1000.0 select-15-end
1000 155555 1000.0 select-155555-end
1000 155556 1000.0 select-15555-end
1000 114455 1000.0 select-1155-end
1000 133566 1000.0 select-15-end
1000 114456 1000.0 select-115-end
1000 111222 1000.0 select-111222-end
1000 111223 1000.0 select-111-end
1000 111224 1000.0 select-111-end
1000 111266 1000.0 select-111-end
1000 111225 1000.0 select-5111-end
1000 255566 1000.0 select-555-end
1000 111226 1000.0 select-111-end
1000 11 1000.0 select-11-end
1000 126666 1000.0 select-16666-end
1000 122666 1000.0 select-1666-end
1000 12 1000.0 select-1-end
1000 13 1000.0 select-1-end
1000 55 1000.0 select-55-end
1000 14 1000.0 select-1-end
1000 14566 1000.0 select-15-end
1000 56 1000.0 select-5-end
1000 15 1000.0 select-15-end
1000 122355 1000.0 select-155-end
1000 444 0.0 failed
1000 16 1000.0 select-1-end
1000 122356 1000.0 select-15-end
1000 445 1000.0 select-5-end
1000 446 0.0 failed
1000 11333 1000.0 select-11333-end
1000 244666 0.0 failed
1000 11334 1000.0 select-11-end
1000 133 1000.0 select-1-end
1000 11335 1000.0 select-115-end
1000 134 1000.0 select-1-end
1000 11336 1000.0 select-11-end
1000 135 1000.0 select-15-end
1000 136 1000.0 select-1-end
1000 1666 1000.0 select-1666-end
1000 222366 0.0 failed
1000 44455 1000.0 select-55444-end
1000 366666 0.0 failed
1000 134566 1000.0 select-15-end
1000 44456 1000.0 select-5444-end
1000 1355 1000.0 select-155-end
1000 1356 1000.0 select-15-end
1000 22466 0.0 failed
1000 112222 1000.0 select-112222-end
1000 112223 1000.0 select-11222-end
1000 112224 1000.0 select-11222-end
1000 112266 1000.0 select-11-end
1000 112225 1000.0 select-115222-end
1000 112226 1000.0 select-11222-end
1000 33555 1000.0 select-555-end
1000 555555 1000.0 select-555555-end
1000 123666 1000.0 select-1666-end
1000 33556 1000.0 select-55-end
1000 555556 1000.0 select-55555-end
1000 15566 1000.0 select-155-end
1000 123355 1000.0 select-155-end
1000 123356 1000.0 select-15-end
1000 12333 1000.0 select-1333-end
1000 245666 1000.0 select-5666-end
1000 12334 1000.0 select-1-end
1000 12335 1000.0 select-15-end
1000 12336 1000.0 select-1-end
1000 2666 0.0 failed
1000 223366 0.0 failed
1000 224444 0.0 failed
1000 135566 1000.0 select-155-end
1000 224445 1000.0 select-5444-end
1000 2355 1000.0 select-55-end
1000 224446 0.0 failed
1000 23466 0.0 failed
1000 2356 1000.0 select-5-end
1000 13333 1000.0 select-13333-end
1000 13334 1000.0 select-1333-end
1000 13335 1000.0 select-15333-end
1000 13336 1000.0 select-1333-end
1000 3666 0.0 failed
1000 3355 1000.0 select-55-end
1000 24466 0.0 failed
1000 3356 1000.0 select-5-end
1000 133333 1000.0 select-133333-end
1000 133334 1000.0 select-13333-end
1000 133335 1000.0 select-153333-end
1000 133336 1000.0 select-13333-end
1000 111344 1000.0 select-111-end
1000 111345 1000.0 select-5111-end
1000 111346 1000.0 select-111-end
1000 233344 0.0 failed
1000 144466 1000.0 select-1444-end
1000 233345 1000.0 select-5333-end
1000 233346 0.0 failed
1000 566 1000.0 select-5-end
1000 11455 1000.0 select-1155-end
1000 333666 0.0 failed
1000 11456 1000.0 select-115-end
1000 255 1000.0 select-55-end
1000 256 1000.0 select-5-end
1000 4666 0.0 failed
1000 11144 1000.0 select-111-end
1000 333355 1000.0 select-553333-end
1000 222444 0.0 failed
1000 11145 1000.0 select-5111-end
1000 333356 1000.0 select-53333-end
1000 222445 1000.0 select-5222-end
1000 11146 1000.0 select-111-end
1000 222446 0.0 failed
1000 455666 1000.0 select-55666-end
1000 1122 1000.0 select-11-end
1000 1123 1000.0 select-11-end
1000 22233 0.0 failed
1000 344444 0.0 failed
1000 112344 1000.0 select-11-end
1000 1124 1000.0 select-11-end
1000 22234 0.0 failed
1000 344445 1000.0 select-54444-end
1000 112345 1000.0 select-115-end
1000 1166 1000.0 select-11-end
1000 1125 1000.0 select-115-end
1000 22235 1000.0 select-5222-end
1000 344446 0.0 failed
1000 112346 1000.0 select-11-end
1000 1126 1000.0 select-11-end
1000 22236 0.0 failed
1000 55666 1000.0 select-55666-end
1000 33366 0.0 failed
1000 444455 1000.0 select-554444-end
1000 34444 0.0 failed
1000 444456 1000.0 select-54444-end
1000 124555 1000.0 select-1555-end
1000 34445 1000.0 select-5444-end
1000 124556 1000.0 select-155-end
1000 34446 0.0 failed
1000 12455 1000.0 select-155-end
1000 334666 0.0 failed
1000 12456 1000.0 select-15-end
1000 5666 1000.0 select-5666-end
1000 223444 0.0 failed
1000 223445 1000.0 select-5-end
1000 223446 0.0 failed
1000 456666 1000.0 select-56666-end
1000 224566 1000.0 select-5-end
1000 113344 1000.0 select-11-end
1000 113345 1000.0 select-115-end
1000 113346 1000.0 select-11-end
1000 56666 1000.0 select-56666-end
1000 125555 1000.0 select-15555-end
1000 125556 1000.0 select-1555-end
1000 13455 1000.0 select-155-end
1000 335666 1000.0 select-5666-end
1000 13456 1000.0 select-15-end
1000 6666 0.0 failed
1000 225566 1000.0 select-55-end
1000 25666 1000.0 select-5666-end
1000 133455 1000.0 select-155-end
1000 133456 1000.0 select-15-end
1000 111466 1000.0 select-111-end
1000 111111 1000.0 select-111111-end
1000 111112 1000.0 select-11111-end
1000 111113 1000.0 select-11111-end
1000 111155 1000.0 select-551111-end
1000 111114 1000.0 select-11111-end
1000 111156 1000.0 select-51111-end
1000 111115 1000.0 select-511111-end
1000 111116 1000.0 select-11111-end
1000 233466 0.0 failed
1000 122555 1000.0 select-1555-end
1000 122556 1000.0 select-155-end
1000 14455 1000.0 select-155-end
1000 336666 0.0 failed
1000 14456 1000.0 select-15-end
1000 122244 1000.0 select-1222-end
1000 333 0.0 failed
1000 122245 1000.0 select-15222-end
1000 334 0.0 failed
1000 122246 1000.0 select-1222-end
1000 335 1000.0 select-5-end
1000 11222 1000.0 select-11222-end
1000 336 0.0 failed
1000 244555 1000.0 select-555-end
1000 11223 1000.0 select-11-end
1000 244556 1000.0 select-55-end
1000 11224 1000.0 select-11-end
1000 11266 1000.0 select-11-end
1000 11225 1000.0 select-115-end
1000 222566 1000.0 select-5222-end
1000 11226 1000.0 select-11-end
1000 1555 1000.0 select-1555-end
1000 26666 0.0 failed
1000 1556 1000.0 select-155-end
1000 22666 0.0 failed
1000 222255 1000.0 select-552222-end
1000 222256 1000.0 select-52222-end
1000 134455 1000.0 select-155-end
1000 134456 1000.0 select-15-end
1000 1244 1000.0 select-1-end
1000 1245 1000.0 select-15-end
1000 22355 1000.0 select-55-end
1000 344566 1000.0 select-5-end
1000 112466 1000.0 select-11-end
1000 1246 1000.0 select-1-end
1000 22356 1000.0 select-5-end
1000 33444 0.0 failed
1000 234466 0.0 failed
1000 123555 1000.0 select-1555-end
1000 33445 1000.0 select-5-end
1000 123556 1000.0 select-155-end
1000 33446 0.0 failed
1000 34566 1000.0 select-5-end
1000 12222 1000.0 select-12222-end
1000 245555 1000.0 select-5555-end
1000 12223 1000.0 select-1222-end
1000 245556 1000.0 select-555-end
1000 12224 1000.0 select-1222-end
1000 12266 1000.0 select-1-end
1000 12225 1000.0 select-15222-end
1000 223566 1000.0 select-5-end
1000 12226 1000.0 select-1222-end
1000 2555 1000.0 select-555-end
1000 23666 0.0 failed
1000 2556 1000.0 select-55-end
1000 2244 0.0 failed
1000 2245 1000.0 select-5-end
1000 23355 1000.0 select-55-end
1000 345566 1000.0 select-55-end
1000 113466 1000.0 select-11-end
1000 2246 0.0 failed
1000 23356 1000.0 select-5-end
1000 35566 1000.0 select-55-end
1000 3555 1000.0 select-555-end
1000 24666 0.0 failed
1000 3556 1000.0 select-55-end
1000 155566 1000.0 select-1555-end
1000 114466 1000.0 select-11-end
1000 111233 1000.0 select-111-end
1000 111234 1000.0 select-111-end
1000 111235 1000.0 select-5111-end
1000 111236 1000.0 select-111-end
1000 144666 1000.0 select-1666-end
1000 22 0.0 failed
1000 23 0.0 failed
1000 24 0.0 failed
1000 66 0.0 failed
1000 25 1000.0 select-5-end
1000 26 0.0 failed
1000 122366 1000.0 select-1-end
1000 455 1000.0 select-55-end
1000 266666 0.0 failed
1000 456 1000.0 select-5-end
1000 11344 1000.0 select-11-end
1000 333555 1000.0 select-555333-end
1000 144 1000.0 select-1-end
1000 11345 1000.0 select-115-end
1000 333556 1000.0 select-55333-end
1000 145 1000.0 select-15-end
1000 4555 1000.0 select-555-end
1000 11346 1000.0 select-11-end
1000 146 1000.0 select-1-end
1000 4556 1000.0 select-55-end
1000 222333 0.0 failed
1000 222334 0.0 failed
1000 222335 1000.0 select-5222-end
1000 222336 0.0 failed
1000 44466 0.0 failed
